,Year,Airport,FlightsA-Domestic,PaxA-Domestic,CargoA-Domestic,FlightsD-Domestic,PaxD-Domestic,CargoD-Domestic,FlightsA-international,PaxA-international,CargoA-international,FlightsD-international,PaxD-international,CargoD-international,Flights,Pax,Cargo
58,2012,EAM,"  2,829 ","  272,231 ",476.91,"  2,824 ","  273,957 ",128.36,,,,,,,"  5,653 ","  546,188 ",605.26
59,2012,EJH,  321 ,"  16,675 ",9.56,  319 ,"  18,386 ",5.91,,,,  2 ,  -   ,0.0,  642 ,"  35,061 ",15.47
60,2012,ELQ,"  2,464 ","  232,773 ",654.37,"  2,455 ","  240,526 ",406.85,"  1,226 ","  128,676 ",0.0,"  1,232 ","  148,996 ",0.0,"  7,377 ","  750,971 ",1061.22
61,2012,GIZ,"  4,386 ","  576,902 ",989.09,"  4,364 ","  617,117 ",1624.29,,,,  6 ,  990 ,0.0,"  8,756 ","  1,195,009 ",2613.39
62,2012,HAS,"  2,075 ","  229,127 ",1061.39,"  2,075 ","  237,209 ",113.67,  124 ,"  13,930 ",0.0,  121 ,"  14,528 ",0.0,"  4,395 ","  494,794 ",1175.06
63,2012,HOF,  128 ,"  13,587 ",1.23,  128 ,"  14,775 ",1.22,,,,,,,  256 ,"  28,362 ",2.45
64,2012,JED,"  29,449 ","  3,827,512 ",17695.13,"  28,571 ","  3,972,258 ",20620.12,"  52,524 ","  5,058,910 ",118425.41,"  52,526 ","  7,578,896 ",70897.57,"  163,070 ","  20,437,576 ",227638.23
65,2012,MED,8801,805487,1236.9,10374,833822,1221.0,8306,1262359,1311.2,6574,920447,1103.2,"  34,055 ","  3,822,115 ",4872.3
66,2012,RAE,  998 ,"  94,248 ",361.82,"  1,001 ","  97,254 ",26.32,,,,  2 ,  69 ,4.58,"  2,001 ","  191,571 ",392.72
67,2012,RAH,  362 ,"  20,482 ",23.21,  362 ,"  22,573 ",11.87,,,,,,,  724 ,"  43,055 ",35.07
68,2012,RUH,"  37,021 ","  4,558,949 ",18183.53,"  36,428 ","  4,391,651 ",22969.49,"  30,795 ","  3,926,242 ",143194.05,"  30,698 ","  4,148,670 ",80674.07,"  134,942 ","  17,025,512 ",265021.14
69,2012,SHW,  732 ,"  50,339 ",64.73,  732 ,"  50,151 ",10.18,,,,,,,"  1,464 ","  100,490 ",74.91
70,2012,TIF,"  1,867 ","  217,257 ",243.55,"  1,872 ","  221,303 ",254.3,"  1,068 ","  97,225 ",0.0,"  1,066 ","  125,385 ",0.0,"  5,873 ","  661,170 ",497.85
71,2012,TUI,  366 ,"  19,130 ",6.54,  366 ,"  20,385 ",5.47,,,,,,,  732 ,"  39,515 ",12.01
72,2012,TUU,"  3,701 ","  447,927 ",1638.8,"  3,712 ","  454,388 ",519.19,  336 ,"  35,107 ",0.0,  335 ,"  40,023 ",0.0,"  8,084 ","  977,445 ",2158.0
73,2012,ULH,  107 ,"  4,231 ",3.66,  107 ,"  4,379 ",1.79,,,,,,,  214 ,"  8,610 ",5.45
74,2012,URY,  833 ,"  79,984 ",298.79,  834 ,"  84,940 ",21.05,,,,,,,"  1,667 ","  164,924 ",319.84
75,2012,WAE,  815 ,"  46,345 ",6.2,  814 ,"  49,748 ",2.11,,,,,,,"  1,629 ","  96,093 ",8.32
76,2012,YNB,"  1,515 ","  116,540 ",212.78,"  1,517 ","  120,993 ",12.95,"  1,400 ","  143,334 ",0.0,"  1,405 ","  173,507 ",0.0,"  5,837 ","  554,374 ",225.73
77,2013,ABT,"  1,413.0 ","  160,205.0 ",  91.8 ,"  1,416.0 ","  167,931.0 ",  38.4 ,,,,,,,"  2,829.0 ","  328,136.0 ",  130.2 
78,2013,AHB,"  8,578.0 ","  1,002,469.0 ","  2,635.3 ","  8,450.0 ","  1,050,988.0 ","  1,172.9 ","  1,371.0 ","  107,721.0 ",  24.9 ,"  1,389.0 ","  131,216.0 ",  6.8 ,"  19,788.0 ","  2,292,394.0 ","  3,839.9 "
79,2013,AJF,"  1,723.0 ","  159,226.0 ",  582.8 ,"  1,723.0 ","  164,169.0 ",  56.1 ,,,,,,,"  3,446.0 ","  323,395.0 ",  638.9 
80,2013,AQI,"  1,077.0 ","  62,620.0 ",  35.8 ,"  1,079.0 ","  66,867.0 ",  82.5 ,,,,,,,"  2,156.0 ","  129,487.0 ",  118.3 
81,2013,BHH,"  1,765.0 ","  179,506.0 ",  105.3 ,"  1,760.0 ","  183,801.0 ",  18.7 ,,,,,,,"  3,525.0 ","  363,307.0 ",  124.0 
