Year,Month_short,dom/intl,ABT,AHB,AJF,AQI,BHH,DMM,DWD,EAM,EJH,ELQ,GIZ,HAS,HOF,JED,MED,NUM,RAE,RAH,RGB,RUH,SHW,TIF,TUI,TUU,ULH,URY,WAE,YNB
2016.0,Dec,Domestic,30851.0,218644.0,35199.0,17673.0,33762.0,385054.0,2076.0,0.0,3928.0,58547.0,139299.0,46960.0,18701.0,902213.0,178298.0,0.0,21030.0,6226.0,21.0,1072545.0,14932.0,48984.0,7762.0,84987.0,1970.0,12907.0,9861.0,34431.0
2016.0,Dec,international,55.0,38245.0,8533.0,0.0,0.0,397537.0,0.0,0.0,9.0,51464.0,12064.0,9805.0,5201.0,1767166.0,467697.0,0.0,0.0,0.0,0.0,896269.0,0.0,34954.0,0.0,9984.0,0.0,0.0,0.0,21334.0
2017.0,Jan,Domestic,37188.0,243108.0,37103.0,21248.0,35446.0,417287.0,2358.0,99.0,4317.0,61599.0,157008.0,56560.0,18188.0,936236.0,186810.0,0.0,22159.0,7485.0,0.0,1129913.0,19527.0,54680.0,8397.0,98409.0,1694.0,14635.0,11116.0,35522.0
2017.0,Jan,international,0.0,45588.0,10571.0,0.0,0.0,421437.0,0.0,0.0,16.0,62526.0,14754.0,11844.0,6316.0,1828746.0,420623.0,0.0,0.0,0.0,0.0,974151.0,0.0,42073.0,0.0,13845.0,0.0,0.0,0.0,20868.0
2017.0,Feb,Domestic,33994.0,227575.0,34891.0,18801.0,31295.0,385646.0,2359.0,188.0,4135.0,56530.0,146181.0,52352.0,17528.0,872611.0,174569.0,0.0,20870.0,6511.0,8.0,1072439.0,15657.0,46968.0,8211.0,93321.0,2137.0,14946.0,11093.0,32982.0
2017.0,Feb,international,0.0,42401.0,10229.0,0.0,0.0,356346.0,0.0,0.0,0.0,60986.0,14461.0,11452.0,6276.0,1691783.0,394016.0,0.0,0.0,0.0,0.0,863934.0,0.0,34643.0,0.0,14296.0,0.0,0.0,0.0,20673.0
2017.0,Mar,Domestic,38135.0,264630.0,38741.0,18941.0,36419.0,427846.0,2799.0,75.0,4340.0,63148.0,163923.0,69758.0,17810.0,969364.0,192112.0,0.0,23594.0,7211.0,4.0,1182756.0,17323.0,51482.0,8636.0,98493.0,2395.0,15898.0,10856.0,37237.0
2017.0,Mar,international,0.0,44048.0,10552.0,0.0,0.0,392098.0,0.0,0.0,0.0,59580.0,14952.0,11252.0,5571.0,1879438.0,452578.0,0.0,0.0,0.0,0.0,921461.0,0.0,32959.0,0.0,15518.0,0.0,0.0,0.0,27015.0
2017.0,Apr,Domestic,40218.0,263345.0,41029.0,18827.0,38983.0,461343.0,2533.0,86.0,4695.0,66129.0,150926.0,68735.0,17838.0,992892.0,210083.0,0.0,25175.0,7655.0,4.0,1241446.0,19412.0,45323.0,8725.0,101983.0,2507.0,17991.0,10092.0,36962.0
2017.0,Apr,international,0.0,51577.0,11342.0,0.0,981.0,420306.0,0.0,0.0,0.0,65279.0,16684.0,12559.0,5633.0,2342273.0,521566.0,0.0,0.0,0.0,0.0,1054487.0,0.0,38457.0,0.0,16744.0,0.0,0.0,0.0,45978.0
2017.0,May,Domestic,38083.0,257992.0,39041.0,21083.0,36923.0,406364.0,1745.0,280.0,3566.0,64066.0,151733.0,71218.0,18918.0,965120.0,184398.0,0.0,25930.0,7832.0,5.0,1204330.0,23631.0,51544.0,9085.0,99845.0,1585.0,18543.0,11029.0,34953.0
2017.0,May,international,0.0,52768.0,12160.0,0.0,0.0,415312.0,0.0,0.0,0.0,66975.0,16818.0,13156.0,6260.0,2165267.0,505407.0,0.0,0.0,0.0,0.0,1027637.0,0.0,36677.0,0.0,17638.0,0.0,0.0,0.0,45877.0
2017.0,Jun,Domestic,38042.0,268763.0,34602.0,21968.0,35900.0,441394.0,2948.0,9.0,4587.0,79016.0,145818.0,54130.0,10785.0,1144952.0,209652.0,0.0,22778.0,7140.0,0.0,1241625.0,22804.0,65472.0,8863.0,97214.0,1634.0,21757.0,11712.0,26714.0
